dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,LM2,Logistic Regression,True,,11,0.6002612330198538,0.02088084404133689,0.11,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR1,Decision Tree,True,,1,0.5880982236154649,0.052964157212492535,0.09,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR2,Random Forest,True,,2,0.5803761755485893,0.03255852420736302,1.71,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR3,Extra Trees,True,,3,0.5869278996865204,0.05905438430959926,1.46,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN1,AdaBoost,True,,4,0.5746185997910136,0.03514992783775563,0.46,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN2,Gradient Boosting (GBM),True,,5,0.5883281086729363,0.06091288671409216,0.53,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN6,Stacking,True,,7,0.570491118077325,0.05559898307995339,2.72,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN7,Voting Ensemble,True,,8,0.5992371995820271,0.04920716636584541,0.2,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,SV1,SVM (linear),True,,14,0.5900313479623825,0.06198338921221418,0.08,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,SV2,Kernel SVM (RBF/Poly),True,,15,0.5633333333333332,0.04760952285695232,0.1,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,PR1,Naive Bayes,True,,16,0.5937722048066876,0.11128021044141209,0.09,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,IB1,k-Nearest Neighbors,True,,17,0.5860188087774295,0.027630316054508046,0.1,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,18,0.5900313479623824,0.042917834733742465,0.11,ok,
