metric,strategy,dataset,unit,kind,pick,regret
auc,fixed,ALOI,ALOI,mid,PR6,0.1107388288170923
auc,kind,ALOI,ALOI,mid,IB4,0.019384010769498028
auc,fixed,Hepatitis,Hepatitis,mid,PR6,0.035017221584385805
auc,kind,Hepatitis,Hepatitis,mid,IB4,0.0
auc,fixed,InternetAds,InternetAds,high,TR4,0.0
auc,kind,InternetAds,InternetAds,high,SV3,0.07540250721009956
auc,fixed,Ionosphere,Ionosphere,mid,TR4,0.11798941798941798
auc,kind,Ionosphere,Ionosphere,mid,IB4,0.02798941798941801
auc,fixed,Lymphography,Lymphography,mid,PR6,0.007042253521126751
auc,kind,Lymphography,Lymphography,mid,IB4,0.0035211267605633756
auc,fixed,PageBlocks,PageBlocks,low,TR4,0.022716881702502856
auc,kind,PageBlocks,PageBlocks,low,TR4,0.022716881702502856
auc,fixed,Pima,Pima,low,TR4,0.053145522388059696
auc,kind,Pima,Pima,low,TR4,0.053145522388059696
auc,fixed,SpamBase,SpamBase,high,PR6,0.2028585382724799
auc,kind,SpamBase,SpamBase,high,PR6,0.2028585382724799
auc,fixed,Stamps,Stamps,low,PR6,0.04290635765737549
auc,kind,Stamps,Stamps,low,PR6,0.04290635765737549
auc,fixed,Waveform,Waveform,mid,PR6,0.1613386180077775
auc,kind,Waveform,Waveform,mid,IB4,0.0
auc,fixed,Wilt,Wilt,low,TR4,0.4343835132723889
auc,kind,Wilt,Wilt,low,TR4,0.4343835132723889
auc,fixed,backdoor,backdoor,high,TR4,0.203844292541286
auc,kind,backdoor,backdoor,high,TR4,0.203844292541286
auc,fixed,campaign,campaign,high,TR4,0.048292435121901955
auc,kind,campaign,campaign,high,PR6,0.0
auc,fixed,Cardiotocography,cardiotocography,mid,PR6,0.22107561773407214
auc,fixed,cardio,cardiotocography,mid,PR6,0.18537146388354853
auc,kind,Cardiotocography,cardiotocography,mid,IB4,0.20593891932997205
auc,kind,cardio,cardiotocography,mid,IB4,0.22247665476517442
auc,fixed,celeba,celeba,mid,TR4,0.1578501285948093
auc,kind,celeba,celeba,mid,IB4,0.10328683949029682
auc,fixed,census,census,high,TR4,0.07493018777082328
auc,kind,census,census,high,PR6,0.0
auc,fixed,cover,cover,low,PR6,0.2850321418955303
auc,kind,cover,cover,low,PR6,0.2850321418955303
auc,fixed,donors,donors,low,PR6,0.0857457425537782
auc,kind,donors,donors,low,PR6,0.0857457425537782
auc,fixed,fault,fault,mid,PR6,0.2466350818642456
auc,kind,fault,fault,mid,IB4,0.0
auc,fixed,fraud,fraud,mid,TR4,0.055622489959839205
auc,kind,fraud,fraud,mid,IB4,0.04381024096385522
auc,fixed,glass,glass,low,PR6,0.07560975609756104
auc,kind,glass,glass,low,PR6,0.07560975609756104
auc,fixed,http,kddcup99,low,IB4,0.8990963855421688
auc,fixed,smtp,kddcup99,low,IB4,0.016671686746987935
auc,kind,http,kddcup99,low,TR4,0.0
auc,kind,smtp,kddcup99,low,TR4,0.029914658634538127
auc,fixed,letter,letter,mid,PR6,0.10182000000000002
auc,kind,letter,letter,mid,IB4,0.005226666666666713
auc,fixed,magic.gamma,magic.gamma,low,PR6,0.09922148437143608
auc,kind,magic.gamma,magic.gamma,low,PR6,0.09922148437143608
auc,fixed,mammography,mammography,low,PR6,0.07812808890395095
auc,kind,mammography,mammography,low,PR6,0.07812808890395095
auc,fixed,mnist,mnist,high,TR4,0.09304012641256476
auc,kind,mnist,mnist,high,PR6,0.0
auc,fixed,musk,musk,high,PR6,3.8246901131633315e-05
auc,kind,musk,musk,high,PR6,3.8246901131633315e-05
auc,fixed,optdigits,optdigits,high,PR6,0.3784035786198061
auc,kind,optdigits,optdigits,high,PR6,0.3784035786198061
auc,fixed,pendigits,pendigits,mid,PR6,0.15243517102211113
auc,kind,pendigits,pendigits,mid,IB4,0.19913501518840082
auc,fixed,shuttle,shuttle,low,PR6,0.010197155435313632
auc,kind,shuttle,shuttle,low,PR6,0.010197155435313632
auc,fixed,skin,skin,low,TR4,0.24312665894397545
auc,kind,skin,skin,low,TR4,0.24312665894397545
auc,fixed,speech,speech,high,TR4,0.05578745053702655
auc,kind,speech,speech,high,PR6,0.014665912945166781
auc,fixed,landsat,statlog_landsat,mid,TR4,0.14519965402911916
auc,fixed,satellite,statlog_landsat,mid,TR4,0.10969164510929352
auc,fixed,satimage-2,statlog_landsat,mid,TR4,0.004132382276892721
auc,kind,landsat,statlog_landsat,mid,IB4,0.016201192002150533
auc,kind,satellite,statlog_landsat,mid,IB4,0.12496449228779882
auc,kind,satimage-2,statlog_landsat,mid,IB4,0.05479970392891631
auc,fixed,annthyroid,thyroid,low,TR4,0.10430143027753669
auc,fixed,thyroid,thyroid,low,TR4,0.010638702078346274
auc,kind,annthyroid,thyroid,low,TR4,0.10430143027753669
auc,kind,thyroid,thyroid,low,TR4,0.010638702078346274
auc,fixed,vertebral,vertebral,low,PR6,0.05587301587301591
auc,kind,vertebral,vertebral,low,PR6,0.05587301587301591
auc,fixed,vowels,vowels,mid,PR6,0.2890753911806543
auc,kind,vowels,vowels,mid,IB4,0.0
auc,fixed,wine,wine,mid,TR4,0.20168067226890773
auc,kind,wine,wine,mid,IB4,0.43025210084033616
auc,fixed,WBC,wisconsin_breast,low,PR6,0.018309859154929775
auc,fixed,WDBC,wisconsin_breast,mid,PR6,0.012885154061624604
auc,fixed,WPBC,wisconsin_breast,mid,PR6,0.017894885162744845
auc,fixed,breastw,wisconsin_breast,low,PR6,0.0
auc,kind,WBC,wisconsin_breast,low,PR6,0.018309859154929775
auc,kind,WDBC,wisconsin_breast,mid,IB4,0.006162464985994376
auc,kind,WPBC,wisconsin_breast,mid,IB4,0.01824714668169647
auc,kind,breastw,wisconsin_breast,low,PR6,0.0
auc,fixed,yeast,yeast,low,TR4,0.0696946939368796
auc,kind,yeast,yeast,low,TR4,0.0696946939368796
ap,fixed,ALOI,ALOI,mid,TR4,0.030261480877515706
ap,kind,ALOI,ALOI,mid,IB4,0.02055871436730241
ap,fixed,Hepatitis,Hepatitis,mid,TR4,0.04808228126953085
ap,kind,Hepatitis,Hepatitis,mid,IB4,0.0390384773073254
ap,fixed,InternetAds,InternetAds,high,TR4,0.0
ap,kind,InternetAds,InternetAds,high,SV3,0.21451071877549677
ap,fixed,Ionosphere,Ionosphere,mid,TR4,0.16243352759770757
ap,kind,Ionosphere,Ionosphere,mid,IB4,0.022808127593006322
ap,fixed,Lymphography,Lymphography,mid,TR4,0.0
ap,kind,Lymphography,Lymphography,mid,IB4,0.08492063492063495
ap,fixed,PageBlocks,PageBlocks,low,TR4,0.13138405809234538
ap,kind,PageBlocks,PageBlocks,low,TR4,0.13138405809234538
ap,fixed,Pima,Pima,low,TR4,0.04040973542408077
ap,kind,Pima,Pima,low,TR4,0.04040973542408077
ap,fixed,SpamBase,SpamBase,high,TR4,0.0
ap,kind,SpamBase,SpamBase,high,SV3,0.08358348537964905
ap,fixed,Stamps,Stamps,low,TR4,0.0
ap,kind,Stamps,Stamps,low,TR4,0.0
