dataset,unit,rows,sampled,columns,kind,anomaly_share,detector,status,auc,ap,seconds,detail
annthyroid,thyroid,7200,5000,6,low,0.0742,TR4,ok,0.8185935497470244,0.3095094874265081,0.56,
annthyroid,thyroid,7200,5000,6,low,0.0742,SV3,ok,0.6765848025951475,0.185295614346952,2.26,
annthyroid,thyroid,7200,5000,6,low,0.0742,IB3,ok,0.7233059599070433,0.17408945490728994,0.3,
annthyroid,thyroid,7200,5000,6,low,0.0742,IB4,ok,0.78856401020404,0.22256822785294791,0.18,
annthyroid,thyroid,7200,5000,6,low,0.0742,PR6,ok,0.922894980024561,0.5133131826062096,3.33,
annthyroid,thyroid,7200,5000,6,low,0.0742,CL2,ok,0.6841388434217889,0.13924788651918465,0.41,
ALOI,ALOI,49534,5000,27,mid,0.0304,TR4,ok,0.5326470763852702,0.033613074743609056,0.51,
ALOI,ALOI,49534,5000,27,mid,0.0304,SV3,ok,0.5448516479937467,0.03604218833249573,3.31,
ALOI,ALOI,49534,5000,27,mid,0.0304,IB3,ok,0.6143349943546987,0.0638745556211247,0.41,
ALOI,ALOI,49534,5000,27,mid,0.0304,IB4,ok,0.5949509835852007,0.0433158412538223,0.32,
ALOI,ALOI,49534,5000,27,mid,0.0304,PR6,ok,0.5035961655376064,0.031726759365310886,3.23,
ALOI,ALOI,49534,5000,27,mid,0.0304,CL2,ok,0.5862374066354005,0.03714955040422373,0.32,
breastw,wisconsin_breast,683,683,9,low,0.3499,TR4,ok,0.9873063440009047,0.9710688701010071,0.37,
breastw,wisconsin_breast,683,683,9,low,0.3499,SV3,ok,0.9513833917599609,0.9176503758800096,0.07,
breastw,wisconsin_breast,683,683,9,low,0.3499,IB3,ok,0.39441742998228363,0.27873151171023647,0.03,
breastw,wisconsin_breast,683,683,9,low,0.3499,IB4,ok,0.9772136152889291,0.9223476388218237,0.02,
breastw,wisconsin_breast,683,683,9,low,0.3499,PR6,ok,0.9887010441403747,0.9768066252319535,1.6,
breastw,wisconsin_breast,683,683,9,low,0.3499,CL2,ok,0.9031531531531531,0.7353846153846154,0.01,
campaign,campaign,41188,5000,62,high,0.1126,TR4,ok,0.7248833181013367,0.3048481792681149,0.46,
campaign,campaign,41188,5000,62,high,0.1126,SV3,ok,0.7313988497340506,0.26931202354979966,5.49,
campaign,campaign,41188,5000,62,high,0.1126,IB3,ok,0.6440516550835438,0.203139435702108,0.46,
campaign,campaign,41188,5000,62,high,0.1126,IB4,ok,0.738190598915706,0.28014081942419616,0.4,
campaign,campaign,41188,5000,62,high,0.1126,PR6,ok,0.7731757532232386,0.3152744746046896,3.68,
campaign,campaign,41188,5000,62,high,0.1126,CL2,ok,0.5,0.1126,0.3,
cardio,cardiotocography,1831,1831,21,mid,0.0961,TR4,ok,0.9329305135951661,0.553290805552057,0.39,
cardio,cardiotocography,1831,1831,21,mid,0.0961,SV3,ok,0.9352135402361988,0.5331409920151768,0.43,
cardio,cardiotocography,1831,1831,21,mid,0.0961,IB3,ok,0.5470921450151057,0.155240159857048,0.09,
cardio,cardiotocography,1831,1831,21,mid,0.0961,IB4,ok,0.7127368854710244,0.3215475802886913,0.05,
cardio,cardiotocography,1831,1831,21,mid,0.0961,PR6,ok,0.7498420763526503,0.28603515671244606,1.25,
cardio,cardiotocography,1831,1831,21,mid,0.0961,CL2,ok,0.5099697885196375,0.09788654060066741,0.04,
Cardiotocography,cardiotocography,2114,2114,21,mid,0.2204,TR4,ok,0.6600222925955248,0.4068136610287092,0.36,
Cardiotocography,cardiotocography,2114,2114,21,mid,0.2204,SV3,ok,0.6958558169090377,0.4131096135243586,0.54,
Cardiotocography,cardiotocography,2114,2114,21,mid,0.2204,IB3,ok,0.5239489145381058,0.2756056340671539,0.09,
Cardiotocography,cardiotocography,2114,2114,21,mid,0.2204,IB4,ok,0.48991689757906576,0.3015546919316094,0.06,
Cardiotocography,cardiotocography,2114,2114,21,mid,0.2204,PR6,ok,0.47478019917496567,0.2791145077919128,1.27,
Cardiotocography,cardiotocography,2114,2114,21,mid,0.2204,CL2,ok,0.5069781553398058,0.22285987565758011,0.05,
celeba,celeba,202599,5000,39,mid,0.0224,TR4,ok,0.6973418868365677,0.051975211061267554,0.43,
celeba,celeba,202599,5000,39,mid,0.0224,SV3,ok,0.7915302782324058,0.09770376665423092,4.3,
celeba,celeba,202599,5000,39,mid,0.0224,IB3,ok,0.46148548924479776,0.020249707050899103,0.4,
celeba,celeba,202599,5000,39,mid,0.0224,IB4,ok,0.7519051759410802,0.05881901035955474,0.37,
celeba,celeba,202599,5000,39,mid,0.0224,PR6,ok,0.855192015431377,0.14005957643658348,3.11,
celeba,celeba,202599,5000,39,mid,0.0224,CL2,ok,0.5018777764788404,0.022482545791255536,0.23,
backdoor,backdoor,95329,5000,196,high,0.0244,TR4,ok,0.6903057555165716,0.04228414138213221,0.48,
backdoor,backdoor,95329,5000,196,high,0.0244,SV3,ok,0.8815046142264701,0.5049339737095996,10.59,
backdoor,backdoor,95329,5000,196,high,0.0244,IB3,ok,0.7247418990583349,0.19450763742561247,0.82,
backdoor,backdoor,95329,5000,196,high,0.0244,IB4,ok,0.8358740144778497,0.46723616057764117,0.74,
backdoor,backdoor,95329,5000,196,high,0.0244,PR6,ok,0.8941500480578576,0.13952190975471918,18.64,
backdoor,backdoor,95329,5000,196,high,0.0244,CL2,ok,0.6061910619106191,0.03077699293642785,0.68,
cover,cover,286048,5000,10,low,0.0096,TR4,ok,0.9116686860527734,0.09306812627546995,0.41,
