dataset,task,condition,best_column,best_score,flags,caught
1027_ESL,regression,clean,in3,0.6388,,
1028_SWD,regression,clean,In3,0.2602,,
1029_LEV,regression,clean,In2,0.3302,,
1030_ERA,regression,clean,in2,0.4286,,
1199_BNG_echoMonths,regression,clean,still_alive,0.3993,,
1199_BNG_echoMonths,regression,leak,extra,1.0,leak:extra,1
1199_BNG_echoMonths,regression,leak_1,extra,0.9896,,0
1199_BNG_echoMonths,regression,leak_5,extra,0.9512,,0
1199_BNG_echoMonths,regression,id_run,still_alive,0.3993,id:extra,1
1199_BNG_echoMonths,regression,id_code,still_alive,0.3993,id:extra,1
1199_BNG_echoMonths,regression,copies_2,still_alive,0.4035,duplicates:,1
197_cpu_act,regression,clean,vflt,0.8104,,
201_pol,regression,clean,f5,0.3875,,
225_puma8NH,regression,clean,theta2,0.5027,,
225_puma8NH,regression,leak,extra,1.0,leak:extra,1
225_puma8NH,regression,leak_1,extra,0.9899,,0
225_puma8NH,regression,leak_5,extra,0.9531,,0
225_puma8NH,regression,id_run,theta2,0.5027,id:extra,1
225_puma8NH,regression,id_code,theta2,0.5027,id:extra,1
225_puma8NH,regression,copies_2,theta2,0.5006,duplicates:,1
227_cpu_small,regression,clean,runqsz,0.7444,,
229_pwLinear,regression,clean,a1,0.4679,,
229_pwLinear,regression,leak,extra,1.0,leak:extra,1
229_pwLinear,regression,leak_1,extra,0.9756,,0
229_pwLinear,regression,leak_5,extra,0.9432,,0
229_pwLinear,regression,id_run,a1,0.4679,id:extra,1
229_pwLinear,regression,id_code,a1,0.4679,id:extra,1
229_pwLinear,regression,copies_2,a1,0.4542,,0
230_machine_cpu,regression,clean,MMAX,0.807,,
294_satellite_image,regression,clean,attr20,0.7303,,
503_wind,regression,clean,CLO,0.8028,,
519_vinnie,regression,clean,field_goal_attempts,0.8649,,
522_pm10,regression,clean,cars_per_hour,0.35,,
529_pollen,regression,clean,RIDGE,0.5395,,
547_no2,regression,clean,cars_per_hour,0.5072,,
556_analcatdata_apnea2,regression,clean,Automatic,0.1685,,
556_analcatdata_apnea2,regression,leak,extra,1.0,leak:extra,1
556_analcatdata_apnea2,regression,leak_1,extra,0.987,,0
556_analcatdata_apnea2,regression,leak_5,extra,0.922,,0
556_analcatdata_apnea2,regression,id_run,Automatic,0.1685,id:extra,1
556_analcatdata_apnea2,regression,id_code,Automatic,0.1685,id:extra,1
556_analcatdata_apnea2,regression,copies_2,Scorer_1,0.1178,,0
557_analcatdata_apnea1,regression,clean,Scorer_2,0.1631,,
560_bodyfat,regression,clean,Density,0.9934,leak:Density,
561_cpu,regression,clean,MMAX,0.9406,duplicates:,
562_cpu_small,regression,clean,runqsz,0.7444,,
573_cpu_act,regression,clean,vflt,0.8104,,
579_fri_c0_250_5,regression,clean,oz4,0.5266,,
581_fri_c3_500_25,regression,clean,oz2,0.4585,,
581_fri_c3_500_25,regression,leak,extra,1.0,leak:extra,1
581_fri_c3_500_25,regression,leak_1,extra,0.9898,,0
581_fri_c3_500_25,regression,leak_5,extra,0.9636,,0
581_fri_c3_500_25,regression,id_run,oz2,0.4585,id:extra,1
581_fri_c3_500_25,regression,id_code,oz2,0.4585,id:extra,1
581_fri_c3_500_25,regression,copies_2,oz2,0.4617,duplicates:,1
582_fri_c1_500_25,regression,clean,oz4,0.4589,,
583_fri_c1_1000_50,regression,clean,oz2,0.4938,,
584_fri_c4_500_25,regression,clean,oz4,0.4427,,
586_fri_c3_1000_25,regression,clean,oz4,0.4619,,
588_fri_c4_1000_100,regression,clean,oz2,0.4685,,
589_fri_c2_1000_25,regression,clean,oz2,0.5817,,
589_fri_c2_1000_25,regression,leak,extra,1.0,leak:extra,1
589_fri_c2_1000_25,regression,leak_1,extra,0.997,leak:extra,1
589_fri_c2_1000_25,regression,leak_5,extra,0.9544,,0
589_fri_c2_1000_25,regression,id_run,oz2,0.5817,id:extra,1
589_fri_c2_1000_25,regression,id_code,oz2,0.5817,id:extra,1
589_fri_c2_1000_25,regression,copies_2,oz2,0.5721,duplicates:,1
590_fri_c0_1000_50,regression,clean,oz4,0.5661,,
592_fri_c4_1000_25,regression,clean,oz4,0.4315,,
593_fri_c1_1000_10,regression,clean,oz2,0.5179,,
595_fri_c0_1000_10,regression,clean,oz4,0.5591,,
595_fri_c0_1000_10,regression,leak,extra,1.0,leak:extra,1
595_fri_c0_1000_10,regression,leak_1,extra,0.9888,,0
595_fri_c0_1000_10,regression,leak_5,extra,0.9563,,0
595_fri_c0_1000_10,regression,id_run,oz4,0.5591,id:extra,1
595_fri_c0_1000_10,regression,id_code,oz4,0.5591,id:extra,1
595_fri_c0_1000_10,regression,copies_2,oz4,0.5595,duplicates:,1
596_fri_c2_250_5,regression,clean,oz2,0.5269,,
596_fri_c2_250_5,regression,leak,extra,1.0,leak:extra,1
596_fri_c2_250_5,regression,leak_1,extra,0.9883,,0
596_fri_c2_250_5,regression,leak_5,extra,0.9488,,0
596_fri_c2_250_5,regression,id_run,oz2,0.5269,id:extra,1
596_fri_c2_250_5,regression,id_code,oz2,0.5269,id:extra,1
596_fri_c2_250_5,regression,copies_2,oz2,0.4954,duplicates:,1
597_fri_c2_500_5,regression,clean,oz1,0.5426,,
598_fri_c0_1000_25,regression,clean,oz4,0.5626,,
598_fri_c0_1000_25,regression,leak,extra,1.0,leak:extra,1
598_fri_c0_1000_25,regression,leak_1,extra,0.9839,,0
598_fri_c0_1000_25,regression,leak_5,extra,0.9506,,0
