dataset,task,first_before,first_after,first_delta,top4_before,top4_after,top4_delta,boosting_before,boosting_after,boosting_delta,first_model_before,first_model_after,eligible_before,eligible_after,ruled_out_winner_before,ruled_out_winner_after
agaricus_lepiota,classification,1.0,0.9996,-0.0004,1.0,1.0,0.0,1.0,1.0,0.0,TR2,TR1,17,17,False,False
allhypo,classification,0.6688,0.8118,0.1429,0.7613,0.8118,0.0505,0.8555,0.8555,0.0,TR2,TR1,17,17,False,False
banana,classification,0.8918,0.5229,-0.3689,0.8948,0.8916,-0.0033,0.8963,0.8963,0.0,EN2,LM2,13,17,False,False
biomed,classification,0.8704,0.8754,0.005,0.8889,0.8904,0.0015,0.8821,0.8821,0.0,TR2,TR1,17,17,False,False
breast_cancer,classification,0.6297,0.6236,-0.0061,0.6297,0.6297,0.0,0.5792,0.5792,0.0,TR2,TR1,17,17,False,False
breast_cancer_wisconsin_diagnostic,classification,0.9614,0.9747,0.0133,0.9638,0.9747,0.0109,0.9647,0.9647,0.0,EN2,LM2,13,17,True,False
cars,classification,0.8778,0.8523,-0.0255,0.8778,0.8778,0.0,0.9757,0.9757,0.0,TR2,TR1,17,17,False,False
collins,classification,0.9756,0.9897,0.0141,0.991,0.991,0.0,0.9679,0.9679,0.0,TR2,TR1,17,17,False,False
credit_approval_australia,classification,0.8733,0.8182,-0.0551,0.8733,0.8733,0.0,0.857,0.857,0.0,TR2,TR1,17,17,False,False
heart_disease_va_long_beach,classification,0.5804,0.5881,0.0077,0.5992,0.5881,-0.0111,0.5737,0.5737,0.0,TR2,TR1,17,17,False,False
letter,classification,0.8654,0.7578,-0.1076,0.9115,0.8654,-0.046,0.9147,0.9147,0.0,IB1,LM2,12,16,False,False
mfeat_zernike,classification,0.808,0.816,0.008,0.808,0.816,0.008,0.792,0.792,0.0,IB1,LM2,12,16,True,False
movement_libras,classification,0.698,0.7493,0.0513,0.7793,0.7793,0.0,0.7613,0.7613,0.0,EN2,LM2,13,17,False,False
parity5+5,classification,0.4486,0.7093,0.2607,0.7093,0.7461,0.0368,0.9654,0.9654,0.0,LM2,TR1,14,13,False,False
