dataset,rep,scenario,checker,sees,fired,statistic,seconds
allbp,0,none,DR-M1,features,0,0.14841,0.0216
allbp,0,none,DR-M2,features,0,0.099855,0.0088
allbp,0,none,DR-M3,features,0,0.024609,0.0361
allbp,0,none,DR-M4,features,0,0.050851,0.0898
allbp,0,none,DR-M5,features,0,0.017748,0.0055
allbp,0,none,DR-M6,features,0,0.208767,0.0551
allbp,0,none,DR-M7,features,0,0.016488,0.0167
allbp,0,none,DR-M8,errors,1,0.016,0.0001
allbp,0,none,DR-M10,joint,0,0.004791,0.1382
allbp,0,none,DR-M12,features,0,0.030985,1.2397
allbp,0,none,DR-M13,features,1,0.00128,0.0099
allbp,0,none,DR-M14,joint,0,0.049184,0.1208
allbp,0,none,DR-C1,errors,0,,0.0008
allbp,0,none,DR-C2,errors,0,,0.0004
allbp,0,none,DR-C3,errors,0,,0.0007
allbp,0,none,DR-C4,errors,0,,0.0004
allbp,0,none,DR-C5,errors,0,,0.3878
allbp,0,none,DR-C6,errors,0,,0.0208
allbp,0,none,DR-C7,errors,0,,0.009
allbp,0,none,DR-C9,errors,0,,0.0005
allbp,0,none,DR-MV1,joint,1,40.964609,0.0011
allbp,0,none,DR-MV2,joint,0,0.056,0.0033
allbp,0,none,DR-CV1,joint,0,0.49528,0.9231
allbp,0,shift,DR-M1,features,1,0.0,0.0194
allbp,0,shift,DR-M2,features,1,2.904396,0.0057
allbp,0,shift,DR-M3,features,1,0.0,0.0232
allbp,0,shift,DR-M4,features,1,2.139896,0.0901
allbp,0,shift,DR-M5,features,1,0.303024,0.0053
allbp,0,shift,DR-M6,features,0,0.320907,0.0993
allbp,0,shift,DR-M7,features,1,4.3e-05,0.0277
allbp,0,shift,DR-M8,errors,1,0.02,0.0001
allbp,0,shift,DR-M10,joint,1,0.006887,0.1178
allbp,0,shift,DR-M12,features,1,0.0,1.1419
allbp,0,shift,DR-M13,features,1,0.0,0.0077
allbp,0,shift,DR-M14,joint,1,0.076515,0.0998
allbp,0,shift,DR-C1,errors,0,,0.0009
allbp,0,shift,DR-C2,errors,0,,0.0004
allbp,0,shift,DR-C3,errors,0,,0.0006
allbp,0,shift,DR-C4,errors,0,,0.0003
allbp,0,shift,DR-C5,errors,0,,0.3966
allbp,0,shift,DR-C6,errors,0,,0.0198
allbp,0,shift,DR-C7,errors,0,,0.0071
allbp,0,shift,DR-C9,errors,0,,0.0005
allbp,0,shift,DR-MV1,joint,1,48.635947,0.0009
allbp,0,shift,DR-MV2,joint,0,0.044,0.0029
allbp,0,shift,DR-CV1,joint,1,0.97608,0.9594
allbp,0,scale,DR-M1,features,1,0.0,0.023
allbp,0,scale,DR-M2,features,1,2.586138,0.0076
allbp,0,scale,DR-M3,features,1,0.0,0.0274
allbp,0,scale,DR-M4,features,1,1.747051,0.096
allbp,0,scale,DR-M5,features,1,0.299879,0.0095
allbp,0,scale,DR-M6,features,1,0.501819,0.0685
allbp,0,scale,DR-M7,features,0,0.003945,0.0187
allbp,0,scale,DR-M8,errors,1,0.02,0.0001
allbp,0,scale,DR-M10,joint,0,0.004479,0.1202
allbp,0,scale,DR-M12,features,1,0.0,1.1779
allbp,0,scale,DR-M13,features,1,0.0,0.0096
allbp,0,scale,DR-M14,joint,0,0.048531,0.1158
allbp,0,scale,DR-C1,errors,0,,0.0008
allbp,0,scale,DR-C2,errors,0,,0.0003
allbp,0,scale,DR-C3,errors,0,,0.0006
allbp,0,scale,DR-C4,errors,0,,0.0004
allbp,0,scale,DR-C5,errors,0,,0.396
allbp,0,scale,DR-C6,errors,0,,0.0307
allbp,0,scale,DR-C7,errors,0,,0.0072
allbp,0,scale,DR-C9,errors,0,,0.0004
allbp,0,scale,DR-MV1,joint,1,48.140551,0.0009
allbp,0,scale,DR-MV2,joint,0,0.032,0.0033
allbp,0,scale,DR-CV1,joint,1,0.94468,0.865
allbp,0,correlation,DR-M1,features,0,0.046073,0.0174
allbp,0,correlation,DR-M2,features,0,0.117406,0.0046
allbp,0,correlation,DR-M3,features,0,0.022193,0.0206
allbp,0,correlation,DR-M4,features,0,0.061871,0.0847
allbp,0,correlation,DR-M5,features,0,0.020807,0.0056
allbp,0,correlation,DR-M6,features,0,0.156248,0.054
allbp,0,correlation,DR-M7,features,0,0.069333,0.0163
allbp,0,correlation,DR-M8,errors,1,0.04,0.0001
allbp,0,correlation,DR-M10,joint,0,0.004412,0.1163
allbp,0,correlation,DR-M12,features,0,0.03236,1.1297
allbp,0,correlation,DR-M13,features,0,0.019028,0.0081
allbp,0,correlation,DR-M14,joint,0,0.047153,0.1312
allbp,0,correlation,DR-C1,errors,1,114.0,0.0011
allbp,0,correlation,DR-C2,errors,0,,0.0006
allbp,0,correlation,DR-C3,errors,0,,0.0011
allbp,0,correlation,DR-C4,errors,0,,0.0014
allbp,0,correlation,DR-C5,errors,0,,0.3818
allbp,0,correlation,DR-C6,errors,0,,0.022
allbp,0,correlation,DR-C7,errors,0,,0.0073
allbp,0,correlation,DR-C9,errors,0,,0.0005
allbp,0,correlation,DR-MV1,joint,0,30.544663,0.0031
allbp,0,correlation,DR-MV2,joint,0,0.044,0.0032
allbp,0,correlation,DR-CV1,joint,1,0.75924,0.8894
allbp,0,selection,DR-M1,features,1,0.0,0.023
allbp,0,selection,DR-M2,features,1,0.450689,0.0047
allbp,0,selection,DR-M3,features,1,0.0,0.0212
allbp,0,selection,DR-M4,features,1,0.236304,0.0869
allbp,0,selection,DR-M5,features,0,0.078112,0.0059
allbp,0,selection,DR-M6,features,1,0.620297,0.0664
allbp,0,selection,DR-M7,features,1,0.0,0.0299
allbp,0,selection,DR-M8,errors,0,-0.004,0.0001
allbp,0,selection,DR-M10,joint,1,0.018224,0.1264
allbp,0,selection,DR-M12,features,1,0.0,1.1185
allbp,0,selection,DR-M13,features,1,0.0,0.0088
allbp,0,selection,DR-M14,joint,1,0.224893,0.1041
allbp,0,selection,DR-C1,errors,0,,0.0008
allbp,0,selection,DR-C2,errors,0,,0.0003
allbp,0,selection,DR-C3,errors,0,,0.0007
allbp,0,selection,DR-C4,errors,0,,0.0003
allbp,0,selection,DR-C5,errors,0,,0.4595
allbp,0,selection,DR-C6,errors,0,,0.0217
allbp,0,selection,DR-C7,errors,0,,0.0072
allbp,0,selection,DR-C9,errors,0,,0.0004
allbp,0,selection,DR-MV1,joint,1,109.550985,0.001
allbp,0,selection,DR-MV2,joint,0,0.024,0.0032
allbp,0,selection,DR-CV1,joint,1,0.61294,0.9341
allbp,0,label_shift,DR-M1,features,0,0.14841,0.0176
allbp,0,label_shift,DR-M2,features,0,0.068255,0.0048
allbp,0,label_shift,DR-M3,features,0,0.047647,0.0222
allbp,0,label_shift,DR-M4,features,0,0.034799,0.0837
allbp,0,label_shift,DR-M5,features,0,0.012191,0.0061
allbp,0,label_shift,DR-M6,features,0,0.204522,0.0758
allbp,0,label_shift,DR-M7,features,0,0.027775,0.0184
allbp,0,label_shift,DR-M8,errors,1,0.024,0.0001
allbp,0,label_shift,DR-M10,joint,0,0.003848,0.1162
allbp,0,label_shift,DR-M12,features,0,0.042979,1.0952
allbp,0,label_shift,DR-M13,features,0,0.003327,0.0085
allbp,0,label_shift,DR-M14,joint,0,0.043321,0.1085
allbp,0,label_shift,DR-C1,errors,0,,0.0008
allbp,0,label_shift,DR-C2,errors,0,,0.0003
allbp,0,label_shift,DR-C3,errors,0,,0.0007
allbp,0,label_shift,DR-C4,errors,0,,0.0003
allbp,0,label_shift,DR-C5,errors,0,,0.398
allbp,0,label_shift,DR-C6,errors,0,,0.0211
allbp,0,label_shift,DR-C7,errors,0,,0.0073
allbp,0,label_shift,DR-C9,errors,0,,0.0005
allbp,0,label_shift,DR-MV1,joint,0,31.836017,0.001
allbp,0,label_shift,DR-MV2,joint,0,0.036,0.0031
allbp,0,label_shift,DR-CV1,joint,0,0.45786,0.9197
allbp,0,concept,DR-M1,features,0,0.13174,0.0181
allbp,0,concept,DR-M2,features,0,0.160362,0.0046
allbp,0,concept,DR-M3,features,0,0.008047,0.0208
allbp,0,concept,DR-M4,features,0,0.090815,0.1141
