metric,strategy,dataset,unit,series,cell,pick,regret
r2,fixed,babynames,babynames,Alantae|M,intermittent,TSM1,0.5266635638888888
r2,fixed,babynames,babynames,Augustis|M,intermittent,TSM1,0.6199962641164063
r2,fixed,babynames,babynames,Callah|F,intermittent,TSM1,0.6199973840624999
r2,fixed,babynames,babynames,Eloina|F,intermittent,TSM2,0.05287829293643789
r2,fixed,babynames,babynames,Jacianna|F,intermittent,TSM1,0.6747576040179338
r2,fixed,babynames,babynames,Jamaira|F,intermittent,TSM1,0.34313130362278327
r2,fixed,babynames,babynames,Jamieson|F,intermittent,TSM1,0.5703425072455816
r2,fixed,babynames,babynames,Jaydalynn|F,intermittent,TSM1,0.2835077217055536
r2,fixed,babynames,babynames,Joee|M,intermittent,TSM1,0.6199927749035518
r2,fixed,babynames,babynames,Junae|F,intermittent,TSM1,0.5244037496489
r2,fixed,babynames,babynames,Kallin|F,intermittent,TSM1,0.6735141556915591
r2,fixed,babynames,babynames,Kellin|F,intermittent,TSM1,0.3406329376589694
r2,fixed,babynames,babynames,Kiesha|F,intermittent,TSM1,0.0
r2,fixed,babynames,babynames,Natisha|F,intermittent,TSM1,0.0
r2,fixed,babynames,babynames,Oaklin|M,intermittent,TSM1,0.4506312994071147
r2,fixed,babynames,babynames,Rethea|F,intermittent,TSM2,0.0
r2,fixed,babynames,babynames,Terek|M,intermittent,TSM1,0.15662743884874825
r2,fixed,babynames,babynames,Tyrun|M,intermittent,TSM1,0.6189566433809048
r2,fixed,babynames,babynames,Yamilette|F,intermittent,TSM1,0.0
r2,fixed,babynames,babynames,Yanay|F,intermittent,TSM1,0.52593625
r2,fixed,cdnow,cdnow,11939,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,12910,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,15188,intermittent,TSM2,0.0150687102308091
r2,fixed,cdnow,cdnow,16440,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,18943,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,1905,intermittent,TSM2,1.0
r2,fixed,cdnow,cdnow,19846,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,21635,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,21704,intermittent,TSM2,0.33699900019062634
r2,fixed,cdnow,cdnow,22001,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,22286,intermittent,TSM2,0.006744371843539199
r2,fixed,cdnow,cdnow,22509,intermittent,TSM2,2.004380214492981e-05
r2,fixed,cdnow,cdnow,23568,intermittent,TSM2,0.4487467763391155
r2,fixed,cdnow,cdnow,3625,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,4124,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,4683,intermittent,TSM2,0.1583589772938164
r2,fixed,cdnow,cdnow,7969,intermittent,TSM2,0.0
r2,fixed,cdnow,cdnow,8092,intermittent,TSM2,0.0275370334894231
r2,fixed,cdnow,cdnow,9635,intermittent,TSM2,0.008835343970795499
r2,fixed,cdnow,cdnow,9883,intermittent,TSM2,0.0
r2,fixed,movielens,movielens,1346,intermittent,TSM2,0.2763163778345251
r2,fixed,movielens,movielens,1591,intermittent,TSM2,0.001275642185945499
r2,fixed,movielens,movielens,1806,intermittent,TSM2,0.0
r2,fixed,movielens,movielens,3267,intermittent,TSM2,0.13504939071352978
r2,fixed,movielens,movielens,33162,intermittent,TSM1,0.21139400290236662
r2,fixed,movielens,movielens,3368,intermittent,TSM2,0.011810073086352901
r2,fixed,movielens,movielens,3557,intermittent,TSM2,1.4643503635481219
r2,fixed,movielens,movielens,3581,intermittent,TSM2,0.0119388968985059
r2,fixed,movielens,movielens,3909,intermittent,TSM2,0.0
r2,fixed,movielens,movielens,41997,intermittent,TSM1,0.052490031127709405
r2,fixed,movielens,movielens,4623,intermittent,TSM2,0.1071863822185675
r2,fixed,movielens,movielens,4727,intermittent,TSM1,0.1583082027464256
r2,fixed,movielens,movielens,50259,intermittent,TSM1,0.20624649760913089
r2,fixed,movielens,movielens,5601,intermittent,TSM1,0.20624469483934083
r2,fixed,movielens,movielens,6239,intermittent,TSM1,0.204136467114962
r2,fixed,movielens,movielens,7980,intermittent,TSM1,0.2118345477489325
r2,fixed,movielens,movielens,8684,intermittent,TSM1,0.20624649760913089
r2,fixed,movielens,movielens,8918,intermittent,TSM1,0.206711508404332
r2,fixed,movielens,movielens,95199,intermittent,TSM1,0.2059790506293772
r2,fixed,movielens,movielens,973,intermittent,TSM2,0.0
r2,fixed,nyc_bikes,nyc_bikes,26301,intermittent,TSM2,1.3926106682597101
r2,fixed,nyc_bikes,nyc_bikes,26307,intermittent,TSM2,0.0397390438509831
r2,fixed,nyc_bikes,nyc_bikes,29477,intermittent,TSM2,0.1428299365361252
r2,fixed,nyc_bikes,nyc_bikes,29506,intermittent,TSM2,0.2851547034697175
r2,fixed,nyc_bikes,nyc_bikes,29522,intermittent,TSM2,0.404294362690292
r2,fixed,nyc_bikes,nyc_bikes,33074,intermittent,TSM1,0.0
r2,fixed,nyc_bikes,nyc_bikes,33557,intermittent,TSM2,0.28114624186730547
r2,fixed,nyc_bikes,nyc_bikes,33571,intermittent,TSM2,0.39258521141231206
r2,fixed,nycflights,nycflights,EWR-CAE,intermittent,TSM2,0.0
r2,fixed,nycflights,nycflights,EWR-LGA,intermittent,TSM1,0.20623779614750962
r2,fixed,nycflights,nycflights,EWR-SBN,intermittent,TSM1,0.22254981916206878
r2,fixed,nycflights,nycflights,EWR-SYR,intermittent,TSM1,0.2606136780420226
r2,fixed,nycflights,nycflights,JFK-MVY,intermittent,TSM2,0.5794732686567385
r2,fixed,nycflights,nycflights,JFK-SDF,intermittent,TSM2,0.11236051840451769
r2,fixed,nycflights,nycflights,LGA-AVL,intermittent,TSM2,0.0
r2,fixed,nycflights,nycflights,LGA-CHO,intermittent,TSM1,0.0
r2,fixed,nycflights,nycflights,LGA-CVG,intermittent,TSM2,0.0651859449637104
r2,fixed,nycflights,nycflights,LGA-EYW,intermittent,TSM1,0.0
r2,fixed,nycflights,nycflights,LGA-GSP,intermittent,TSM2,0.03652722423932149
r2,fixed,nycflights,nycflights,LGA-IND,intermittent,TSM1,0.0
r2,fixed,nycflights,nycflights,LGA-JAX,intermittent,TSM1,0.0
r2,fixed,nycflights,nycflights,LGA-LEX,intermittent,TSM1,0.2062455500297407
r2,fixed,nycflights,nycflights,LGA-MHT,intermittent,TSM2,0.0
r2,fixed,nycflights,nycflights,LGA-MYR,intermittent,TSM2,0.0
r2,fixed,nycflights,nycflights,LGA-PWM,intermittent,TSM2,0.010971982953559695
r2,fixed,nycflights,nycflights,LGA-SAV,intermittent,TSM1,0.0
r2,fixed,nycflights,nycflights,LGA-SBN,intermittent,TSM1,0.2117360801802142
r2,fixed,nycflights,nycflights,LGA-TVC,intermittent,TSM2,0.0
r2,fixed,police_deaths,police_deaths,AK,intermittent,TSM2,0.026933220114717098
r2,fixed,police_deaths,police_deaths,CA,intermittent,TSM2,0.051810182351631304
r2,fixed,police_deaths,police_deaths,DC,intermittent,TSM2,0.0032988636421090005
r2,fixed,police_deaths,police_deaths,IA,intermittent,TSM1,0.2115577144449326
r2,fixed,police_deaths,police_deaths,IN,intermittent,TSM2,0.0
r2,fixed,police_deaths,police_deaths,LA,intermittent,TSM2,0.6256125532366967
r2,fixed,police_deaths,police_deaths,MI,intermittent,TSM2,0.05156669842742159
r2,fixed,police_deaths,police_deaths,NH,intermittent,TSM1,0.21282498899641059
r2,fixed,police_deaths,police_deaths,NV,intermittent,TSM2,0.0232265076477354
r2,fixed,police_deaths,police_deaths,OH,intermittent,TSM2,0.0
r2,fixed,police_deaths,police_deaths,PA,intermittent,TSM2,1.3477478768599005e-05
r2,fixed,police_deaths,police_deaths,RI,intermittent,TSM2,0.009753617246066201
r2,fixed,police_deaths,police_deaths,RR,intermittent,TSM1,0.2062377961475097
r2,fixed,police_deaths,police_deaths,US,intermittent,TSM2,0.037551697784671
r2,fixed,police_deaths,police_deaths,VA,intermittent,TSM2,0.010513909839142105
r2,fixed,police_deaths,police_deaths,VI,intermittent,TSM1,0.2042141383607636
