dataset,unit,series,n,step,period,season,zero_share,adi,cv2,seasonal_strength,trend_strength,cell,method,status,r2,mae,seconds,detail
nycflights,nycflights,EWR-LGA,200,daily,7,7,0.995,200.0,0.0,0.035777,0.142914,intermittent,NAIVE-LAST,ok,0.5875000000000001,0.012121212121212121,0.0,
nycflights,nycflights,EWR-LGA,200,daily,7,7,0.995,200.0,0.0,0.035777,0.142914,intermittent,NAIVE-AVERAGE,ok,-0.008047217649991455,0.015432049342261247,0.0,
nycflights,nycflights,EWR-LGA,200,daily,7,7,0.995,200.0,0.0,0.035777,0.142914,intermittent,NAIVE-SEASON,ok,0.5875000000000001,0.012121212121212121,0.0,
nycflights,nycflights,EWR-LGA,200,daily,7,7,0.995,200.0,0.0,0.035777,0.142914,intermittent,TSM1,ok,-0.2124999999999999,0.019732728687559035,3.29,
nycflights,nycflights,EWR-LGA,200,daily,7,7,0.995,200.0,0.0,0.035777,0.142914,intermittent,TSM2,error,,,0.27,RuntimeError: exponential smoothing could not be fitted
nycflights,nycflights,EWR-LGA,200,daily,7,7,0.995,200.0,0.0,0.035777,0.142914,intermittent,TSM4,ok,-0.008900978992022602,0.02531007751937985,0.01,
nycflights,nycflights,EWR-LGA,200,daily,7,7,0.995,200.0,0.0,0.035777,0.142914,intermittent,TSM5,ok,-0.0062622038524903,0.008009639255944476,0.01,
nycflights,nycflights,EWR-CAE,200,daily,7,7,0.72,3.571429,0.016928,0.960081,0.14825,intermittent,NAIVE-LAST,ok,-1.7590481786133956,0.5696969696969696,0.0,
nycflights,nycflights,EWR-CAE,200,daily,7,7,0.72,3.571429,0.016928,0.960081,0.14825,intermittent,NAIVE-AVERAGE,ok,-0.011686860592712955,0.41364715290076326,0.0,
nycflights,nycflights,EWR-CAE,200,daily,7,7,0.72,3.571429,0.016928,0.960081,0.14825,intermittent,NAIVE-SEASON,ok,0.9025525525525525,0.024242424242424242,0.0,
nycflights,nycflights,EWR-CAE,200,daily,7,7,0.72,3.571429,0.016928,0.960081,0.14825,intermittent,TSM1,ok,0.053158451698575096,0.29815601748332626,4.04,
nycflights,nycflights,EWR-CAE,200,daily,7,7,0.72,3.571429,0.016928,0.960081,0.14825,intermittent,TSM2,ok,0.9523552134109613,0.018575414028318523,2.43,
nycflights,nycflights,EWR-CAE,200,daily,7,7,0.72,3.571429,0.016928,0.960081,0.14825,intermittent,TSM4,ok,-0.010247787634944893,0.3981001377156188,0.0,
nycflights,nycflights,EWR-CAE,200,daily,7,7,0.72,3.571429,0.016928,0.960081,0.14825,intermittent,TSM5,ok,-0.05062635233967132,0.4205379476693917,0.01,
nycflights,nycflights,EWR-SBN,200,daily,7,7,0.98,50.0,0.0,0.147518,0.142229,intermittent,NAIVE-LAST,ok,0.14750000000000005,0.048484848484848485,0.0,
nycflights,nycflights,EWR-SBN,200,daily,7,7,0.98,50.0,0.0,0.147518,0.142229,intermittent,NAIVE-AVERAGE,ok,0.18201077641585836,0.03963140018513935,0.0,
nycflights,nycflights,EWR-SBN,200,daily,7,7,0.98,50.0,0.0,0.147518,0.142229,intermittent,NAIVE-SEASON,ok,0.16750000000000007,0.03636363636363636,0.0,
nycflights,nycflights,EWR-SBN,200,daily,7,7,0.98,50.0,0.0,0.147518,0.142229,intermittent,TSM1,ok,-0.041036250858665246,0.05621751645867949,3.21,
nycflights,nycflights,EWR-SBN,200,daily,7,7,0.98,50.0,0.0,0.147518,0.142229,intermittent,TSM2,error,,,0.25,RuntimeError: exponential smoothing could not be fitted
nycflights,nycflights,EWR-SBN,200,daily,7,7,0.98,50.0,0.0,0.147518,0.142229,intermittent,TSM4,ok,0.18151356830340365,0.03356704421127675,0.0,
nycflights,nycflights,EWR-SBN,200,daily,7,7,0.98,50.0,0.0,0.147518,0.142229,intermittent,TSM5,ok,0.1701128976530108,0.040060530511244294,0.01,
nycflights,nycflights,EWR-SYR,200,daily,7,7,0.81,5.263158,0.0,0.094929,0.661807,intermittent,NAIVE-LAST,ok,-0.1522857142857143,0.15757575757575756,0.0,
nycflights,nycflights,EWR-SYR,200,daily,7,7,0.81,5.263158,0.0,0.094929,0.661807,intermittent,NAIVE-AVERAGE,ok,-0.2882862747403217,0.23042884338827246,0.0,
nycflights,nycflights,EWR-SYR,200,daily,7,7,0.81,5.263158,0.0,0.094929,0.661807,intermittent,NAIVE-SEASON,ok,0.21071428571428563,0.11515151515151516,0.0,
nycflights,nycflights,EWR-SYR,200,daily,7,7,0.81,5.263158,0.0,0.094929,0.661807,intermittent,TSM1,ok,-0.06131568079787897,0.1809022221216414,2.91,
nycflights,nycflights,EWR-SYR,200,daily,7,7,0.81,5.263158,0.0,0.094929,0.661807,intermittent,TSM2,error,,,0.25,RuntimeError: exponential smoothing could not be fitted
nycflights,nycflights,EWR-SYR,200,daily,7,7,0.81,5.263158,0.0,0.094929,0.661807,intermittent,TSM4,ok,0.09398659944803564,0.16888737334596443,0.0,
nycflights,nycflights,EWR-SYR,200,daily,7,7,0.81,5.263158,0.0,0.094929,0.661807,intermittent,TSM5,ok,0.1992979972441437,0.15597488384539457,0.01,
