metric,strategy,dataset,unit,series,cell,pick,regret
r2,fixed,aus_livestock,aus_livestock,"Bulls, bullocks and steers|South Australia",trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,"Bulls, bullocks and steers|Tasmania",trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Calves|Queensland,trend,TSM2,0.40623285361612127
r2,fixed,aus_livestock,aus_livestock,Calves|South Australia,seasonal-trend,TSM2,1.5304158906892364
r2,fixed,aus_livestock,aus_livestock,Calves|Victoria,seasonal,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Cattle (excl. calves)|Northern Territory,intermittent,TSM2,0.6202837786352906
r2,fixed,aus_livestock,aus_livestock,Cattle (excl. calves)|Queensland,seasonal-trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Cattle (excl. calves)|Victoria,trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Cows and heifers|New South Wales,seasonal-trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Cows and heifers|Queensland,seasonal-trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Cows and heifers|Victoria,trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Lambs|New South Wales,trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Lambs|Victoria,trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Pigs|New South Wales,trend,TSM2,1.3080490504110416
r2,fixed,aus_livestock,aus_livestock,Pigs|Queensland,seasonal-trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Pigs|Victoria,trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Sheep|New South Wales,trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Sheep|Tasmania,seasonal-trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Sheep|Victoria,seasonal-trend,TSM2,0.0
r2,fixed,aus_livestock,aus_livestock,Sheep|Western Australia,seasonal-trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,"Bulls, bullocks and steers|South Australia",trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,"Bulls, bullocks and steers|Tasmania",trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Calves|Queensland,trend,TSM2,0.40623285361612127
r2,kind,aus_livestock,aus_livestock,Calves|South Australia,seasonal-trend,TSM2,1.5304158906892364
r2,kind,aus_livestock,aus_livestock,Calves|Victoria,seasonal,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Cattle (excl. calves)|Northern Territory,intermittent,TSM5,0.5567180484435805
r2,kind,aus_livestock,aus_livestock,Cattle (excl. calves)|Queensland,seasonal-trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Cattle (excl. calves)|Victoria,trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Cows and heifers|New South Wales,seasonal-trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Cows and heifers|Queensland,seasonal-trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Cows and heifers|Victoria,trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Lambs|New South Wales,trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Lambs|Victoria,trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Pigs|New South Wales,trend,TSM2,1.3080490504110416
r2,kind,aus_livestock,aus_livestock,Pigs|Queensland,seasonal-trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Pigs|Victoria,trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Sheep|New South Wales,trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Sheep|Tasmania,seasonal-trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Sheep|Victoria,seasonal-trend,TSM2,0.0
r2,kind,aus_livestock,aus_livestock,Sheep|Western Australia,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349335T,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349401C,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349414R,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349415T,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349434X,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349442X,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349443A,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349468W,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349483V,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349562T,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349563V,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349564W,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349605F,trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349639C,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349765T,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349773T,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349797K,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349905J,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349909T,seasonal-trend,TSM2,0.0
r2,fixed,aus_retail,aus_retail,A3349925T,seasonal-trend,TSM2,0.0
