dataset,unit,series,n,step,period,season,zero_share,adi,cv2,seasonal_strength,trend_strength,cell,method,status,r2,mae,seconds,detail
m4_yearly,m4_yearly,Y11686,26,yearly,1,,0.0,1.0,0.523256,0.0,0.974491,trend,NAIVE-LAST,ok,-1.0223031044000586,273.1625,0.01,
m4_yearly,m4_yearly,Y11686,26,yearly,1,,0.0,1.0,0.523256,0.0,0.974491,trend,NAIVE-AVERAGE,ok,-4.5342281893883225,601.988200670715,0.01,
m4_yearly,m4_yearly,Y11686,26,yearly,1,,0.0,1.0,0.523256,0.0,0.974491,trend,TSM1,ok,-0.9869089851728625,255.84342640797462,4.03,
m4_yearly,m4_yearly,Y11686,26,yearly,1,,0.0,1.0,0.523256,0.0,0.974491,trend,TSM2,ok,-5.042624755276202,300.0452994416301,0.68,
m4_yearly,m4_yearly,Y11686,26,yearly,1,,0.0,1.0,0.523256,0.0,0.974491,trend,TSM4,ok,-2.4176568087891566,490.281848287195,0.01,
m4_yearly,m4_yearly,Y11686,26,yearly,1,,0.0,1.0,0.523256,0.0,0.974491,trend,TSM5,ok,-2.8278380175583173,444.21530073595875,0.02,
m4_yearly,m4_yearly,Y11084,46,yearly,1,,0.0,1.0,0.035344,0.0,0.98835,trend,NAIVE-LAST,ok,0.2382394388182548,116.0,0.01,
m4_yearly,m4_yearly,Y11084,46,yearly,1,,0.0,1.0,0.035344,0.0,0.98835,trend,NAIVE-AVERAGE,ok,-36.86450332340958,608.3901498671348,0.01,
m4_yearly,m4_yearly,Y11084,46,yearly,1,,0.0,1.0,0.035344,0.0,0.98835,trend,TSM1,ok,-148670417556933.2,579023567.6087621,5.76,
m4_yearly,m4_yearly,Y11084,46,yearly,1,,0.0,1.0,0.035344,0.0,0.98835,trend,TSM2,ok,0.05605385175236453,119.98941631236644,0.77,
m4_yearly,m4_yearly,Y11084,46,yearly,1,,0.0,1.0,0.035344,0.0,0.98835,trend,TSM4,ok,-21.022429489163034,507.40339183135677,0.0,
m4_yearly,m4_yearly,Y11084,46,yearly,1,,0.0,1.0,0.035344,0.0,0.98835,trend,TSM5,ok,-1.387439860908096,225.7020849940042,0.01,
m4_yearly,m4_yearly,Y1223,21,yearly,1,,0.0,1.0,0.025351,0.0,0.979509,trend,NAIVE-LAST,ok,-2.4671173385993153,347.91181777777797,0.0,
m4_yearly,m4_yearly,Y1223,21,yearly,1,,0.0,1.0,0.025351,0.0,0.979509,trend,NAIVE-AVERAGE,ok,-153.15259680729488,2012.591380215208,0.01,
m4_yearly,m4_yearly,Y1223,21,yearly,1,,0.0,1.0,0.025351,0.0,0.979509,trend,TSM1,ok,-6.483711421312208,381.7978064886174,3.45,
m4_yearly,m4_yearly,Y1223,21,yearly,1,,0.0,1.0,0.025351,0.0,0.979509,trend,TSM2,ok,-10.234790581884042,503.10783099746186,0.54,
