dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail,seed
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,LM2,Logistic Regression,True,,10,0.6002612330198538,0.02088084404133689,0.11,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR1,Decision Tree,True,,13,0.5880982236154649,0.052964157212492535,0.09,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR2,Random Forest,True,,3,0.5803761755485893,0.03255852420736302,1.8,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR3,Extra Trees,True,,1,0.5869278996865204,0.05905438430959926,1.34,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN1,AdaBoost,True,,15,0.5746185997910136,0.03514992783775563,0.38,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN2,Gradient Boosting (GBM),True,,7,0.5883281086729363,0.06091288671409216,0.49,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN6,Stacking,True,,6,0.570491118077325,0.05559898307995339,2.4,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN7,Voting Ensemble,True,,8,0.5992371995820271,0.04920716636584541,0.22,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,SV1,SVM (linear),True,,12,0.5900313479623825,0.06198338921221418,0.08,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.5633333333333332,0.04760952285695232,0.08,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,PR1,Naive Bayes,True,,16,0.5937722048066876,0.11128021044141209,0.08,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,IB1,k-Nearest Neighbors,True,,14,0.5860188087774295,0.027630316054508046,0.08,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,0.5900313479623824,0.042917834733742465,0.1,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN1,Perceptron,True,,17,0.5616509926854754,0.08814411195745232,0.09,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN2,MLP (Feedforward),True,,5,0.5856739811912226,0.05527209101731816,1.36,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN3,XGBoost,True,,4,0.5735945663531871,0.038943661130803185,0.18,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN4,LightGBM,True,,2,0.5668129571577847,0.021083881238415533,0.15,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.5737095088819226,0.025354505523090237,0.36,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,LM2,Logistic Regression,True,,10,0.9850000000000001,0.012247448713915901,0.08,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,TR1,Decision Tree,True,,13,0.9099999999999999,0.05147815070493499,0.07,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,TR2,Random Forest,True,,3,0.9099999999999999,0.03391164991562632,1.64,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,TR3,Extra Trees,True,,1,0.96,0.04358898943540673,1.27,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,EN1,AdaBoost,True,,15,0.8799999999999999,0.043011626335213125,0.36,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,7,0.925,0.05700877125495691,0.44,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,EN6,Stacking,True,,6,0.9800000000000001,0.018708286933869722,0.45,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,EN7,Voting Ensemble,True,,8,0.9550000000000001,0.029154759474226483,0.14,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,SV1,SVM (linear),True,,12,0.9949999999999999,0.010000000000000009,0.07,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,9,0.96,0.012247448713915901,0.07,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,0.61,0.09695359714832659,0.07,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,14,0.9099999999999999,0.04358898943540671,0.08,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,1.0,0.0,0.07,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,NN1,Perceptron,True,,17,0.9949999999999999,0.010000000000000009,0.07,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.9949999999999999,0.010000000000000009,0.8,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,EN3,XGBoost,True,,4,0.95,0.03872983346207416,0.14,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,EN4,LightGBM,True,,2,0.95,0.022360679774997866,0.13,ok,,0
prnn_crabs,classification,200,7,False,A11 A21 A38 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8949999999999999,0.062048368229954284,0.33,ok,,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,LM2,Logistic Regression,True,,10,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,TR1,Decision Tree,True,,13,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,TR2,Random Forest,True,,3,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,TR3,Extra Trees,True,,1,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN1,AdaBoost,True,,15,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN2,Gradient Boosting (GBM),True,,7,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN6,Stacking,True,,6,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,EN7,Voting Ensemble,True,,8,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,SV1,SVM (linear),True,,12,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,SV2,Kernel SVM (RBF/Poly),True,,9,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,PR1,Naive Bayes,True,,16,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,IB1,k-Nearest Neighbors,True,,14,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,11,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,NN1,Perceptron,True,,17,,,,skipped,a class has only 3 rows,0
auto_insurance_symboling,classification,205,24,False,A11 A21 A38 A42 A51 A62,A54,NN2,MLP (Feedforward),True,,5,,,,skipped,a class has only 3 rows,0
