dataset,task,condition,first,signature,flags,numeric
1199_BNG_echoMonths,regression,clean,EN2,A11 A21 A38 A41 A53 A61,,6
1199_BNG_echoMonths,regression,dirty_5,EN2,A11 A21 A38 A41 A53 A64,,6
1199_BNG_echoMonths,regression,labels_10,EN2,A11 A21 A38 A41 A53 A61,,6
1199_BNG_echoMonths,regression,missing_10,EN2,A11 A21 A38 A41 A53 A62,,6
1199_BNG_echoMonths,regression,missing_30,EN2,A11 A21 A38 A41 A53 A62,,6
225_puma8NH,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,8
225_puma8NH,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,8
225_puma8NH,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,8
225_puma8NH,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,8
225_puma8NH,regression,missing_30,EN2,A11 A21 A31 A41 A53 A62,,8
229_pwLinear,regression,clean,EN2,A11 A21 A32 A41 A53 A61,,0
229_pwLinear,regression,dirty_5,EN2,A11 A21 A32 A41 A53 A61,,0
229_pwLinear,regression,labels_10,EN2,A11 A21 A32 A41 A53 A61,,0
229_pwLinear,regression,missing_10,EN2,A11 A21 A32 A41 A53 A62,,0
229_pwLinear,regression,missing_30,EN2,A11 A21 A32 A41 A53 A62,,0
556_analcatdata_apnea2,regression,clean,EN2,A11 A21 A38 A41 A54 A61,,1
556_analcatdata_apnea2,regression,dirty_5,EN2,A11 A21 A38 A41 A54 A62,,1
556_analcatdata_apnea2,regression,labels_10,EN2,A11 A21 A38 A41 A54 A61,,1
556_analcatdata_apnea2,regression,missing_10,EN2,A11 A21 A38 A41 A54 A62,,1
556_analcatdata_apnea2,regression,missing_30,EN2,A11 A21 A38 A41 A54 A62,,1
581_fri_c3_500_25,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,25
581_fri_c3_500_25,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,25
581_fri_c3_500_25,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,25
581_fri_c3_500_25,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,25
581_fri_c3_500_25,regression,missing_30,EN2,A11 A21 A31 A41 A54 A62,,25
589_fri_c2_1000_25,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,25
589_fri_c2_1000_25,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,25
589_fri_c2_1000_25,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,25
589_fri_c2_1000_25,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,25
589_fri_c2_1000_25,regression,missing_30,EN2,A11 A21 A31 A41 A53 A62,,25
595_fri_c0_1000_10,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,10
595_fri_c0_1000_10,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,10
595_fri_c0_1000_10,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,10
595_fri_c0_1000_10,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,10
595_fri_c0_1000_10,regression,missing_30,EN2,A11 A21 A31 A41 A53 A62,,10
596_fri_c2_250_5,regression,clean,EN2,A11 A21 A31 A41 A54 A61,,5
596_fri_c2_250_5,regression,dirty_5,EN2,A11 A21 A31 A41 A54 A64,,5
596_fri_c2_250_5,regression,labels_10,EN2,A11 A21 A31 A41 A54 A61,,5
596_fri_c2_250_5,regression,missing_10,EN2,A11 A21 A31 A41 A54 A62,,5
596_fri_c2_250_5,regression,missing_30,EN2,A11 A21 A31 A41 A54 A62,,5
598_fri_c0_1000_25,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,25
598_fri_c0_1000_25,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,25
598_fri_c0_1000_25,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,25
598_fri_c0_1000_25,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,25
598_fri_c0_1000_25,regression,missing_30,EN2,A11 A21 A31 A41 A53 A62,,25
606_fri_c2_1000_10,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,10
606_fri_c2_1000_10,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,10
606_fri_c2_1000_10,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,10
606_fri_c2_1000_10,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,10
606_fri_c2_1000_10,regression,missing_30,EN2,A11 A21 A31 A41 A53 A62,,10
620_fri_c1_1000_25,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,25
620_fri_c1_1000_25,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,25
620_fri_c1_1000_25,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,25
620_fri_c1_1000_25,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,25
620_fri_c1_1000_25,regression,missing_30,EN2,A11 A21 A31 A41 A53 A62,,25
627_fri_c2_500_10,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,10
627_fri_c2_500_10,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,10
627_fri_c2_500_10,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,10
627_fri_c2_500_10,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,10
627_fri_c2_500_10,regression,missing_30,EN2,A11 A21 A31 A41 A54 A62,,10
635_fri_c0_250_10,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,10
635_fri_c0_250_10,regression,dirty_5,EN2,A11 A21 A31 A41 A54 A64,,10
635_fri_c0_250_10,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,10
635_fri_c0_250_10,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,10
635_fri_c0_250_10,regression,missing_30,EN2,A11 A21 A31 A41 A53 A62,,10
641_fri_c1_500_10,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,10
641_fri_c1_500_10,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,10
641_fri_c1_500_10,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,10
641_fri_c1_500_10,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,10
641_fri_c1_500_10,regression,missing_30,EN2,A11 A21 A31 A41 A53 A62,,10
645_fri_c3_500_50,regression,clean,EN2,A11 A21 A31 A41 A53 A61,,50
645_fri_c3_500_50,regression,dirty_5,EN2,A11 A21 A31 A41 A53 A64,,50
645_fri_c3_500_50,regression,labels_10,EN2,A11 A21 A31 A41 A53 A61,,50
645_fri_c3_500_50,regression,missing_10,EN2,A11 A21 A31 A41 A53 A62,,50
645_fri_c3_500_50,regression,missing_30,EN2,A11 A21 A31 A41 A54 A62,,50
653_fri_c0_250_25,regression,clean,EN2,A11 A21 A31 A41 A54 A61,,25
653_fri_c0_250_25,regression,dirty_5,EN2,A11 A21 A31 A41 A54 A64,,25
653_fri_c0_250_25,regression,labels_10,EN2,A11 A21 A31 A41 A54 A61,,25
653_fri_c0_250_25,regression,missing_10,EN2,A11 A21 A31 A41 A54 A62,,25
653_fri_c0_250_25,regression,missing_30,EN2,A11 A21 A31 A41 A54 A62,,25
695_chatfield_4,regression,clean,EN2,A11 A21 A31 A41 A54 A61,,12
695_chatfield_4,regression,dirty_5,EN2,A11 A21 A31 A41 A54 A64,,12
695_chatfield_4,regression,labels_10,EN2,A11 A21 A31 A41 A54 A61,,12
695_chatfield_4,regression,missing_10,EN2,A11 A21 A31 A41 A54 A62,,12
695_chatfield_4,regression,missing_30,EN2,A11 A21 A31 A41 A54 A62,,12
agaricus_lepiota,classification,clean,EN4,A11 A21 A38 A41 A51 A61,A53,1
agaricus_lepiota,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A61,A53,1
agaricus_lepiota,classification,labels_10,EN4,A11 A21 A38 A41 A51 A61,A53,1
agaricus_lepiota,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A53,1
agaricus_lepiota,classification,missing_30,EN4,A11 A21 A38 A41 A51 A62,A53,1
allhypo,classification,clean,EN4,A11 A21 A38 A41 A52 A61,A53,6
allhypo,classification,dirty_5,EN4,A11 A21 A38 A41 A52 A62,A53,6
allhypo,classification,labels_10,EN4,A11 A21 A38 A41 A52 A61,A53,6
allhypo,classification,missing_10,EN4,A11 A21 A38 A41 A52 A62,A53,6
allhypo,classification,missing_30,EN4,A11 A21 A38 A41 A52 A62,A53,6
banana,classification,clean,EN4,A11 A21 A31 A41 A51 A61,A53,2
banana,classification,dirty_5,EN4,A11 A21 A31 A41 A51 A64,A53,2
banana,classification,labels_10,EN4,A11 A21 A31 A41 A51 A61,A53,2
banana,classification,missing_10,EN4,A11 A21 A31 A41 A51 A62,A53,2
banana,classification,missing_30,EN4,A11 A21 A31 A41 A51 A62,A53,2
biomed,classification,clean,EN4,A11 A21 A38 A41 A51 A61,A54,7
biomed,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A64,A54,7
biomed,classification,labels_10,EN4,A11 A21 A38 A41 A51 A61,A54,7
biomed,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A54,7
biomed,classification,missing_30,EN4,A11 A21 A38 A41 A51 A62,A54,7
breast_cancer,classification,clean,EN4,A11 A21 A38 A41 A51 A61,A53,1
breast_cancer,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A62,A53,1
breast_cancer,classification,labels_10,EN4,A11 A21 A38 A41 A51 A61,A53,1
breast_cancer,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A53,1
breast_cancer,classification,missing_30,EN4,A11 A21 A38 A41 A51 A62,A53,1
breast_cancer_wisconsin_diagnostic,classification,clean,EN4,A11 A21 A31 A41 A51 A61,A54,30
breast_cancer_wisconsin_diagnostic,classification,dirty_5,EN4,A11 A21 A31 A41 A51 A64,A54,30
breast_cancer_wisconsin_diagnostic,classification,labels_10,EN4,A11 A21 A31 A41 A51 A61,A54,30
breast_cancer_wisconsin_diagnostic,classification,missing_10,EN4,A11 A21 A31 A41 A51 A62,A54,30
breast_cancer_wisconsin_diagnostic,classification,missing_30,EN4,A11 A21 A31 A41 A51 A62,A54,30
cars,classification,clean,EN4,A11 A21 A38 A41 A51 A61,A53,7
cars,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A64,A53,7
cars,classification,labels_10,EN4,A11 A21 A38 A41 A51 A61,A53,7
cars,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A53,7
cars,classification,missing_30,EN4,A11 A21 A38 A41 A51 A62,A53,7
collins,classification,clean,EN4,A11 A21 A38 A41 A51 A61,A54,22
collins,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A64,A54,22
collins,classification,labels_10,EN4,A11 A21 A38 A41 A51 A61,A54,22
collins,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A54,22
collins,classification,missing_30,EN4,A11 A21 A38 A41 A51 A62,A54,22
credit_approval_australia,classification,clean,EN4,A11 A21 A38 A41 A51 A62,A54,6
credit_approval_australia,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A64,A54,6
credit_approval_australia,classification,labels_10,EN4,A11 A21 A38 A41 A51 A62,A54,6
credit_approval_australia,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A54,6
credit_approval_australia,classification,missing_30,EN4,A11 A21 A38 A41 A51 A62,A54,6
heart_disease_va_long_beach,classification,clean,EN4,A11 A21 A38 A41 A51 A62,A54,6
heart_disease_va_long_beach,classification,dirty_5,EN4,A11 A21 A38 A41 A51 A64,A54,6
heart_disease_va_long_beach,classification,labels_10,EN4,A11 A21 A38 A41 A51 A62,A54,6
heart_disease_va_long_beach,classification,missing_10,EN4,A11 A21 A38 A41 A51 A62,A54,6
heart_disease_va_long_beach,classification,missing_30,EN4,A11 A21 A38 A43 A51 A62,A54,6
letter,classification,clean,EN4,A11 A21 A31 A41 A53 A61,,16
letter,classification,dirty_5,EN4,A11 A21 A31 A41 A53 A64,,16
letter,classification,labels_10,EN4,A11 A21 A31 A41 A53 A61,,16
letter,classification,missing_10,EN4,A11 A21 A31 A41 A53 A62,,16
letter,classification,missing_30,EN4,A11 A21 A31 A41 A53 A62,,16
mfeat_zernike,classification,clean,EN4,A11 A21 A31 A41 A51 A61,A54,47
mfeat_zernike,classification,dirty_5,EN4,A11 A21 A31 A41 A51 A64,A54,47
mfeat_zernike,classification,labels_10,EN4,A11 A21 A31 A41 A51 A61,A54,47
mfeat_zernike,classification,missing_10,EN4,A11 A21 A31 A41 A51 A62,A54,47
mfeat_zernike,classification,missing_30,EN4,A11 A21 A31 A41 A51 A62,A54,47
movement_libras,classification,clean,EN4,A11 A21 A31 A42 A51 A61,A54,90
movement_libras,classification,dirty_5,EN4,A11 A21 A31 A42 A51 A64,A54,90
