dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail,seed,condition
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,LM2,Logistic Regression,True,,10.0,0.6025705329153606,0.0651816905280772,0.14,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR1,Decision Tree,True,,13.0,0.6151097178683386,0.0708824760244326,0.11,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR2,Random Forest,True,,5.0,0.5903761755485893,0.0430410732625204,2.14,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR3,Extra Trees,True,,3.0,0.5835945663531871,0.0505552027621114,1.75,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN1,AdaBoost,True,,15.0,0.6070428422152561,0.0573100274566425,0.62,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN2,Gradient Boosting (GBM),True,,7.0,0.5908672936259143,0.0922583983551346,0.74,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN6,Stacking,True,,6.0,0.5348484848484849,0.0340690165395277,4.1,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN7,Voting Ensemble,True,,8.0,0.5838244514106583,0.0438474045059384,0.26,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,SV1,SVM (linear),True,,11.0,0.6224555903866248,0.0605496927362746,0.12,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,SV2,Kernel SVM (RBF/Poly),True,,9.0,0.5533333333333333,0.0355902608401043,0.12,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,PR1,Naive Bayes,True,,14.0,0.5975548589341693,0.0768947576120514,0.11,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,IB1,k-Nearest Neighbors,True,,16.0,0.606133751306165,0.0473691765402839,0.11,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,12.0,0.6156739811912226,0.0359491717808787,0.12,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN1,Perceptron,True,,17.0,0.6183176593521421,0.0916760284405701,0.11,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN2,MLP (Feedforward),True,,2.0,0.574994775339603,0.0482955760477995,2.47,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN3,XGBoost,True,,4.0,0.600491118077325,0.0301035592468712,0.25,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN4,LightGBM,True,,1.0,0.6070428422152561,0.0308400050867017,1.0,ok,,0,missing_10
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.577042842215256,0.0293694626364194,0.41,ok,,0,missing_10
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A62,A54,LM2,Logistic Regression,True,,10.0,0.8481481481481483,0.062195761569432,0.1,ok,,0,missing_10
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A62,A54,TR1,Decision Tree,True,,13.0,0.8229629629629631,0.0792073211619455,0.1,ok,,0,missing_10
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A62,A54,TR2,Random Forest,True,,5.0,0.8703703703703705,0.083706981253432,1.97,ok,,0,missing_10
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A62,A54,TR3,Extra Trees,True,,3.0,0.8851851851851853,0.0885487318652954,1.69,ok,,0,missing_10
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A62,A54,EN1,AdaBoost,True,,15.0,0.8807407407407407,0.0497676356510839,0.61,ok,,0,missing_10
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A62,A54,EN2,Gradient Boosting (GBM),True,,7.0,0.882962962962963,0.0611099887663491,0.82,ok,,0,missing_10
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A62,A54,EN6,Stacking,True,,6.0,0.8644444444444446,0.0743919107067483,0.71,ok,,0,missing_10
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A62,A54,EN7,Voting Ensemble,True,,8.0,0.8481481481481483,0.0735910175230802,0.21,ok,,0,missing_10
