dataset,task,rows,features,log_rows,log_features,numeric_share,categorical_share,missing_share,noise_share,majority_share,drift_psi
1199_BNG_echoMonths,regression,5000,9,3.699,0.9542,0.6667,0.3333,0.0,0.0,0.0,0.0171
225_puma8NH,regression,5000,8,3.699,0.9031,1.0,0.0,0.0,0.0,0.0,0.0109
229_pwLinear,regression,200,10,2.301,1.0,0.0,1.0,0.0,0.0,0.0,0.107
556_analcatdata_apnea2,regression,475,3,2.6767,0.4771,0.3333,0.6667,0.0,0.0,0.0,5.0
581_fri_c3_500_25,regression,500,25,2.699,1.3979,1.0,0.0,0.0,0.0,0.0,0.1305
589_fri_c2_1000_25,regression,1000,25,3.0,1.3979,1.0,0.0,0.0,0.0,0.0,0.0705
595_fri_c0_1000_10,regression,1000,10,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0859
596_fri_c2_250_5,regression,250,5,2.3979,0.699,1.0,0.0,0.0,0.0,0.0,0.2876
598_fri_c0_1000_25,regression,1000,25,3.0,1.3979,1.0,0.0,0.0,0.0,0.0,0.0757
606_fri_c2_1000_10,regression,1000,10,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.08
620_fri_c1_1000_25,regression,1000,25,3.0,1.3979,1.0,0.0,0.0,0.0,0.0,0.0724
627_fri_c2_500_10,regression,500,10,2.699,1.0,1.0,0.0,0.0,0.0,0.0,0.1251
635_fri_c0_250_10,regression,250,10,2.3979,1.0,1.0,0.0,0.0,0.0,0.0,0.2302
641_fri_c1_500_10,regression,500,10,2.699,1.0,1.0,0.0,0.0,0.0,0.0,0.0958
645_fri_c3_500_50,regression,500,50,2.699,1.699,1.0,0.0,0.0,0.0,0.0,0.1561
653_fri_c0_250_25,regression,250,25,2.3979,1.3979,1.0,0.0,0.0,0.0,0.0,0.3785
695_chatfield_4,regression,235,12,2.3711,1.0792,1.0,0.0,0.0,0.0,0.0,5.0
agaricus_lepiota,classification,5000,22,3.699,1.3424,0.0455,0.9545,0.0,0.0,0.6886,5.0
allhypo,classification,3770,29,3.5763,1.4624,0.2069,0.7931,0.0,0.0,0.9233,0.0211
banana,classification,5000,2,3.699,0.301,1.0,0.0,0.0,0.0,0.5574,0.0183
biomed,classification,209,8,2.3201,0.9031,0.875,0.125,0.0,0.0,0.6411,2.57
breast_cancer,classification,286,9,2.4564,0.9542,0.1111,0.8889,0.0,0.0,0.7028,0.1936
breast_cancer_wisconsin_diagnostic,classification,569,30,2.7551,1.4771,1.0,0.0,0.0,0.0,0.6274,0.2854
cars,classification,392,8,2.5933,0.9031,0.875,0.125,0.0,0.0,0.625,0.1762
collins,classification,485,23,2.6857,1.3617,0.9565,0.0435,0.0,0.0,0.1649,5.0
credit_approval_australia,classification,690,15,2.8388,1.1761,0.4,0.6,0.0065,0.0,0.5551,0.6903
heart_disease_va_long_beach,classification,200,13,2.301,1.1139,0.4615,0.5385,0.3023,0.0,0.745,0.4738
letter,classification,5000,16,3.699,1.2041,1.0,0.0,0.0,0.0,0.0434,0.0095
mfeat_zernike,classification,2000,47,3.301,1.6721,1.0,0.0,0.0,0.0,0.1,0.9125
movement_libras,classification,360,90,2.5563,1.9542,1.0,0.0,0.0,0.0,0.0667,2.4506
nikuradse_1,regression,362,2,2.5587,0.301,1.0,0.0,0.0,0.0,0.0,5.0
parity5+5,classification,1124,10,3.0508,1.0,0.0,1.0,0.0,0.0,0.5044,0.0099
satimage,classification,5000,36,3.699,1.5563,1.0,0.0,0.0,0.0,0.2336,0.2743
schizo,classification,340,14,2.5315,1.1461,0.8571,0.1429,0.0,0.0,0.5882,5.0
spambase,classification,4601,57,3.6629,1.7559,1.0,0.0,0.0,0.0,0.606,1.1641
splice,classification,3188,60,3.5035,1.7782,0.0,1.0,0.0,0.0,0.5191,0.0184
strogatz_glider2,regression,400,2,2.6021,0.301,1.0,0.0,0.0,0.0,0.0,0.8778
strogatz_vdp2,regression,400,2,2.6021,0.301,1.0,0.0,0.0,0.0,0.0,0.1532
tic_tac_toe,classification,958,9,2.9814,0.9542,0.0,1.0,0.0,0.0,0.6534,0.0582
yeast,classification,1479,8,3.17,0.9031,1.0,0.0,0.0,0.0,0.313,0.0951
