dataset,task,family,rows,features,signature,best_model,best,first_model,first,top4,boosting,tuned,tabpfn,eligible_mean,eligible_worst,best_ruled_out,best_ruled_out_model,ruled_out_why,n_eligible,n_ruled_out,regret_first,regret_top4,regret_boosting,regret_eligible_mean
1027_ESL,regression,1027_ESL,488,4,A11 A21 A32 A41 A53 A61,NN2,0.8464,EN2,0.8345,0.8345,0.7898,0.7946,,0.6769,-0.0161,0.8437,LM7,needs A31 data (yours is A32),14,5,0.0118,0.0118,0.0566,0.1695
1028_SWD,regression,1028_SWD,1000,10,A11 A21 A32 A41 A53 A61,EN6,0.4169,EN2,0.3893,0.3893,0.3622,0.3818,,0.3132,-0.0023,0.4127,LM7,needs A31 data (yours is A32),14,5,0.0276,0.0276,0.0547,0.1037
1029_LEV,regression,1029_LEV,1000,4,A11 A21 A32 A41 A53 A61,LM3,0.5533,EN2,0.531,0.531,0.5141,0.5367,,0.4349,-0.0067,0.5533,LM3,needs A31 data (yours is A32),14,5,0.0223,0.0223,0.0393,0.1184
1030_ERA,regression,1030_ERA,1000,4,A11 A21 A31 A41 A53 A61,EN6,0.3559,EN2,0.3385,0.3385,0.3347,0.3358,,0.3055,-0.0148,,,,19,0,0.0174,0.0174,0.0212,0.0504
1199_BNG_echoMonths,regression,bng,5000,9,A11 A21 A38 A41 A53 A61,EN2,0.4378,EN2,0.4378,0.4378,0.4283,0.4431,,0.384,-0.095,,,,19,0,0.0,0.0,0.0095,0.0538
197_cpu_act,regression,197_cpu_act,5000,21,A11 A21 A31 A41 A53 A61,EN4,0.9827,EN2,0.9802,0.9827,0.9811,0.9828,,0.8583,0.5367,,,,19,0,0.0026,0.0,0.0016,0.1245
201_pol,regression,201_pol,5000,48,A11 A21 A38 A41 A53 A61,TR3,0.9825,EN2,0.9304,0.9825,0.9792,0.9827,,0.7558,0.4065,,,,19,0,0.0522,0.0,0.0034,0.2267
225_puma8NH,regression,225_puma8NH,5000,8,A11 A21 A31 A41 A53 A61,NN2,0.6703,EN2,0.6602,0.6602,0.6591,0.6638,,0.508,0.2945,,,,19,0,0.0101,0.0101,0.0112,0.1623
227_cpu_small,regression,227_cpu_small,5000,12,A11 A21 A31 A41 A53 A61,EN4,0.976,EN2,0.974,0.976,0.9741,0.9736,,0.8563,0.5396,,,,19,0,0.002,0.0,0.0019,0.1197
229_pwLinear,regression,229_pwLinear,200,10,A11 A21 A32 A41 A53 A61,EN2,0.8555,EN2,0.8555,0.8555,0.8507,0.8507,,0.6923,0.2308,0.722,LM7,needs A31 data (yours is A32),14,5,0.0,0.0,0.0048,0.1632
230_machine_cpu,regression,230_machine_cpu,209,6,A11 A21 A31 A41 A54 A61,EN2,0.8921,EN2,0.8921,0.8921,0.7152,0.7834,,0.7639,-0.0154,,,,19,0,0.0,0.0,0.1769,0.1282
294_satellite_image,regression,294_satellite_image,5000,36,A11 A21 A31 A41 A53 A61,TR3,0.9051,EN2,0.8652,0.9051,0.9007,0.9047,,0.77,0.2958,,,,19,0,0.0399,0.0,0.0044,0.1351
503_wind,regression,503_wind,5000,14,A11 A21 A31 A41 A53 A61,NN2,0.7978,EN2,0.7825,0.7888,0.7897,0.7916,,0.7459,0.5446,,,,19,0,0.0153,0.009,0.0081,0.0519
519_vinnie,regression,519_vinnie,380,2,A11 A21 A38 A41 A54 A61,LM3,0.7363,EN2,0.7013,0.7076,0.7076,0.6949,,0.6976,0.5807,,,,19,0,0.035,0.0288,0.0288,0.0387
522_pm10,regression,522_pm10,500,7,A11 A21 A31 A41 A53 A61,BASE-HGB,0.4588,EN2,0.4313,0.4568,0.4588,0.4586,,0.228,-0.1401,,,,19,0,0.0275,0.002,0.0,0.2308
529_pollen,regression,529_pollen,3848,4,A11 A21 A31 A41 A53 A61,EN6,0.7937,EN2,0.764,0.764,0.7622,0.7689,,0.7007,0.2486,,,,19,0,0.0296,0.0296,0.0315,0.093
547_no2,regression,547_no2,500,7,A11 A21 A31 A41 A53 A61,TR2,0.5792,EN2,0.5693,0.5792,0.5736,0.5712,,0.4483,-0.0068,,,,19,0,0.0099,0.0,0.0056,0.1309
556_analcatdata_apnea2,regression,556_analcatdata_apnea2,475,3,A11 A21 A38 A41 A54 A61,LM6,0.906,EN2,0.9046,0.9046,0.7357,0.9178,,0.5537,-0.0727,,,,19,0,0.0014,0.0014,0.1703,0.3522
557_analcatdata_apnea1,regression,557_analcatdata_apnea1,475,3,A11 A21 A38 A41 A54 A61,EN3,0.906,EN2,0.9041,0.9041,0.7141,0.9119,,0.55,-0.0696,,,,19,0,0.002,0.002,0.192,0.3561
560_bodyfat,regression,560_bodyfat,252,14,A11 A21 A31 A41 A54 A61,SV1,0.9732,EN2,0.9589,0.9695,0.9551,0.9575,,0.9273,0.7845,,,,19,0,0.0143,0.0037,0.018,0.0458
561_cpu,regression,561_cpu,209,7,A11 A21 A31 A41 A54 A61,LM6,0.9983,EN2,0.9529,0.9529,0.7061,0.8092,,0.8206,-0.0159,,,,19,0,0.0455,0.0455,0.2922,0.1778
562_cpu_small,regression,562_cpu_small,5000,12,A11 A21 A31 A41 A53 A61,EN4,0.976,EN2,0.974,0.976,0.9741,0.9736,,0.8563,0.5395,,,,19,0,0.002,0.0,0.0019,0.1197
573_cpu_act,regression,573_cpu_act,5000,21,A11 A21 A31 A41 A53 A61,EN4,0.9827,EN2,0.9802,0.9827,0.9811,0.9828,,0.8583,0.5367,,,,19,0,0.0026,0.0,0.0016,0.1245
579_fri_c0_250_5,regression,friedman,250,5,A11 A21 A31 A41 A53 A61,NN2,0.8872,EN2,0.8197,0.8361,0.8436,0.8223,,0.6767,-0.0336,,,,19,0,0.0675,0.0511,0.0436,0.2105
581_fri_c3_500_25,regression,friedman,500,25,A11 A21 A31 A41 A53 A61,EN4,0.8927,EN2,0.8917,0.8927,0.8911,0.9067,,0.3234,-2.2858,,,,19,0,0.0009,0.0,0.0015,0.5692
582_fri_c1_500_25,regression,friedman,500,25,A11 A21 A31 A41 A53 A61,EN2,0.8852,EN2,0.8852,0.8852,0.8758,0.8893,,0.2878,-2.5526,,,,19,0,0.0,0.0,0.0094,0.5974
583_fri_c1_1000_50,regression,friedman,1000,50,A11 A21 A31 A41 A53 A61,EN2,0.9231,EN2,0.9231,0.9231,0.9174,0.9281,,0.4032,-0.7749,,,,19,0,0.0,0.0,0.0057,0.5199
584_fri_c4_500_25,regression,friedman,500,25,A11 A21 A31 A41 A53 A61,BASE-HGB,0.88,EN2,0.8685,0.873,0.88,0.9005,,0.3444,-1.6318,,,,19,0,0.0114,0.007,0.0,0.5355
586_fri_c3_1000_25,regression,friedman,1000,25,A11 A21 A31 A41 A53 A61,EN4,0.9263,EN2,0.9235,0.9263,0.9253,0.9376,,0.4999,-0.0051,,,,19,0,0.0029,0.0,0.001,0.4265
588_fri_c4_1000_100,regression,friedman,1000,100,A11 A21 A31 A41 A53 A61,EN2,0.921,EN2,0.921,0.921,0.9126,0.9281,,0.436,-0.0846,,,,19,0,0.0,0.0,0.0084,0.485
