dataset,task,family,best,ceiling,current,prior,prior_fit,prior_knn,boosting,tuned,current_model,prior_model,prior_fit_model,prior_knn_model,boosting_model,tuned_model
1027_ESL,regression,1027_ESL,0.8464,0.8464,-0.0161,0.8345,0.8345,0.8345,0.7898,0.7946,LM4,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
1028_SWD,regression,1028_SWD,0.4169,0.4169,-0.0023,0.3893,0.3893,0.3893,0.3622,0.3818,LM4,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
1029_LEV,regression,1029_LEV,0.5533,0.5533,-0.0067,0.531,0.531,0.531,0.5141,0.5367,LM4,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
1030_ERA,regression,1030_ERA,0.3559,0.3559,0.3527,0.3385,0.3341,0.3341,0.3347,0.3358,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
1199_BNG_echoMonths,regression,bng,0.4378,0.4431,-0.095,0.4378,0.4378,0.4378,0.4283,0.4431,TR1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
197_cpu_act,regression,197_cpu_act,0.9827,0.9828,0.7258,0.9802,0.9802,0.9826,0.9811,0.9828,LM1,EN2,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
201_pol,regression,201_pol,0.9825,0.9827,0.9521,0.9304,0.9304,0.9304,0.9792,0.9827,TR1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
225_puma8NH,regression,225_puma8NH,0.6703,0.6703,0.3758,0.6602,0.6558,0.6558,0.6591,0.6638,LM1,EN2,TR3,TR3,BASE-HGB,BASE-HGB-TUNED
227_cpu_small,regression,227_cpu_small,0.976,0.976,0.7164,0.974,0.974,0.974,0.9741,0.9736,LM1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
229_pwLinear,regression,229_pwLinear,0.8555,0.8555,0.2308,0.8555,0.8555,0.8555,0.8507,0.8507,LM4,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
230_machine_cpu,regression,230_machine_cpu,0.8921,0.8921,0.8058,0.8921,0.8886,0.8921,0.7152,0.7834,LM1,EN2,TR3,EN2,BASE-HGB,BASE-HGB-TUNED
294_satellite_image,regression,294_satellite_image,0.9051,0.9051,0.6999,0.8652,0.8652,0.9051,0.9007,0.9047,LM1,EN2,EN2,TR3,BASE-HGB,BASE-HGB-TUNED
503_wind,regression,503_wind,0.7978,0.7978,0.7584,0.7825,0.7825,0.7825,0.7897,0.7916,LM1,EN2,EN2,EN2,BASE-HGB,BASE-HGB-TUNED
