dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail,seed
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,LM2,Logistic Regression,True,,10,0.6002612330198538,0.02088084404133689,0.15,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,LM2,Logistic Regression,True,,10,0.5793521421107628,0.05248615303184427,0.13,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,LM2,Logistic Regression,True,,10,0.5796969696969697,0.0631045599879787,0.14,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR1,Decision Tree,True,,13,0.5880982236154649,0.052964157212492535,0.13,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR1,Decision Tree,True,,13,0.558662486938349,0.04631583380855551,0.12,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR1,Decision Tree,True,,13,0.5396133751306165,0.1262167070081308,0.12,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR2,Random Forest,True,,3,0.5803761755485893,0.03255852420736302,2.38,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR2,Random Forest,True,,3,0.5869278996865204,0.04395298340989258,2.59,ok,,1
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR2,Random Forest,True,,3,0.5680668756530826,0.06503894650933995,2.52,ok,,2
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR3,Extra Trees,True,,1,0.5869278996865204,0.05905438430959926,1.9,ok,,0
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR3,Extra Trees,True,,1,0.5733646812957158,0.061991817769059196,1.97,ok,,1
