ship_date,origin_port,dest_port,commodity,container_type,goods_value_usd,freight_rate_usd,fx_usd_pln,transit_days,delayed
2025-01-04,Mundra,Gdynia,basmati_rice,40ft,26400,2100,3.95,28,0
2025-01-11,Mundra,Gdansk,psyllium_husk,20ft,14200,1850,3.97,31,0
2025-01-18,Nhava_Sheva,Gdynia,cumin,40ft,31000,2340,3.99,27,1
2025-01-25,Mundra,Gdynia,lentils,40ft,19800,1990,4.01,29,0
2025-02-01,Chennai,Rotterdam,basmati_rice,40ft,27500,2410,3.96,33,0
2025-02-08,Mundra,Gdynia,coriander,20ft,12300,1720,3.94,28,0
2025-02-15,Nhava_Sheva,Hamburg,psyllium_husk,40ft,28900,2280,3.92,30,1
2025-02-22,Mundra,Gdansk,lentils,20ft,11400,1660,3.90,32,0
2025-03-01,Chennai,Gdynia,cumin,40ft,33200,2520,3.93,34,0
2025-03-08,Mundra,Gdynia,basmati_rice,40ft,26100,2080,3.98,28,0
2025-03-15,Nhava_Sheva,Rotterdam,coriander,20ft,13100,1780,4.02,31,0
2025-03-22,Mundra,Gdynia,lentils,40ft,20400,2010,4.05,29,1
2025-03-29,Chennai,Hamburg,psyllium_husk,40ft,29700,2360,4.03,35,0
2025-04-05,Mundra,Gdansk,cumin,20ft,15600,1900,4.00,30,0
2025-04-12,Mundra,Gdynia,basmati_rice,40ft,27000,2150,3.97,27,0
2025-04-19,Nhava_Sheva,Gdynia,lentils,40ft,21200,2050,3.95,29,0
2025-04-26,Chennai,Rotterdam,coriander,40ft,25800,2290,3.99,33,1
2025-05-03,Mundra,Gdynia,psyllium_husk,20ft,14900,1810,4.04,28,0
2025-05-10,Mundra,Hamburg,basmati_rice,40ft,28300,2440,4.06,32,0
2025-05-17,Nhava_Sheva,Gdansk,cumin,40ft,32400,2470,4.01,30,0
